"","Site","GENUS_CODE","StartingDate","EndingDate","Interval","Interval_Years","SIG","pg.N","pg.int","pg.slp","pg.var","pg.R2","pg.AIC","pg.BadModel","sg.N","sg.int","sg.slp","sg.var","sg.R2","sg.AIC","sg.BadModel","s.N","s.int","s.slp","s.pR2","s.AIC","s.AUC","s.BadModel","StartingYear","SEC_NAME","N.Rec_Site","MN.RecVal_Site","N.RecVal_Sec","MN.RecVal_Sec","LOW_CI95.RecVal_Sec","HIGH_CI95.RecVal_Sec","N.RecVal_Sec_SSSS","MN.RecVal_Sec_SSSS","LOW_CI95.RecVal_Sec_SSSS","HIGH_CI95.RecVal_Sec_SSSS","ISLAND","REGION","MD.RecVal_Sec_All","MD.CI95_LO.RecVal_Sec_All","MD.CI95_HI.RecVal_Sec_All"
"1","OCC-ASC-003","POSP","2017-06-07","2022-07-24","17_22",5.12799452429843,"ASC-003_1706-2207_POSP",66,0.0198930278953455,0.990005316393068,0.00863648887851518,0.969923907614017,-122.347147554101,FALSE,66,0.0534311122562922,0.998116872112471,0.0084525911120843,0.970638093570553,-123.767671201852,FALSE,96,8.93537291524709,2.50217257280962,0.250345155881722,93.3952785858302,0.816161616161616,FALSE,2017,"Asuncion",NA,NA,12,0.019386258690903,0.00171958742377322,0.0370529299580327,12,0.0106100494896826,0.00516238429702978,0.0160577146823354,"ASC","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"2","OCC-ASC-003","ACSP","2017-06-07","2022-07-24","17_22",5.12799452429843,"ASC-003_1706-2207_ACSP",14,-0.182392423626542,0.862173585762273,0.0125201915561762,0.96710459848298,-17.753607175635,FALSE,14,-0.102541023342614,0.871948680827924,0.021346494821407,0.913960418512825,-10.2839788046209,FALSE,20,-0.271636813003937,-0.460248307934661,0.0120968171088939,28.1389915325833,0.476190476190476,TRUE,2017,"Asuncion",NA,NA,12,0,NA,NA,12,0.0106100494896826,0.00516238429702978,0.0160577146823354,"ASC","MARIAN",0.00350001456585141,-0.000584392038409588,0.00823958641219241
"3","OCC-ASC-003","POCS","2017-06-07","2022-07-24","17_22",5.12799452429843,"ASC-003_1706-2207_POCS",14,-0.248705376775022,0.841125793137803,0.00130439645044862,0.985643039563785,-49.4160382815844,FALSE,14,-0.252964991656869,0.809442511292996,0.00173043858436699,0.979233153271073,-45.4591559866331,FALSE,32,1.70711584963462,0.575692475790877,0.00592944156638808,47.600043310707,0.53968253968254,TRUE,2017,"Asuncion",NA,NA,12,0.067875502780617,0.0224633024268448,0.113287703134389,12,0.0106100494896826,0.00516238429702978,0.0160577146823354,"ASC","MARIAN",0.00961588971358806,0.000484025739609889,0.0179086110420565
"4","OCC-BAK-003","ACSP","2018-06-14","2023-03-19","18_23",4.76112251882272,"BAK-003_1806-2303_ACSP",13,0.0299558697045547,0.948621993618518,0.0148126552090812,0.981099424627635,-14.0388552018889,FALSE,13,0.0384856711300083,0.917600572507372,0.0177940700390099,0.979065315830355,-11.6548715111407,FALSE,30,2.53653304462963,1.65265577082005,0.324927031827917,31.7143821162481,0.846153846153846,FALSE,2018,"Baker",NA,NA,10,0.000480569537357684,-0.0001978722398765,0.00115901131459187,10,0.000521986352783242,-8.51918185801318e-05,0.00112916452414662,"BAK","PRIAs",0.000341200578759472,-0.000239436197267161,0.00110032201581345
"5","OCC-BAK-003","POSP","2018-06-14","2023-03-19","18_23",4.76112251882272,"BAK-003_1806-2303_POSP",15,-0.248666369321103,0.871368242337379,0.00956949150286798,0.964166134346675,-23.3159847998527,FALSE,15,-0.253140000796419,0.811174802340391,0.016139839758311,0.9516581882943,-15.475324824817,FALSE,46,2.70037591158229,1.45797569146989,0.154243815773108,53.1268438628011,0.759139784946237,FALSE,2018,"Baker",NA,NA,10,0,NA,NA,10,0.000521986352783242,-8.51918185801318e-05,0.00112916452414662,"BAK","PRIAs",0.000242182597547958,2.12063872124177e-05,0.001635516086756
"6","OCC-BAK-003","POCS","2018-06-14","2023-03-19","18_23",4.76112251882272,"BAK-003_1806-2303_POCS",11,-0.0948034094464699,0.887157708116705,0.00317170253585097,0.986562561973383,-28.2790842544125,FALSE,11,0.0820701924138042,0.939237165869426,0.00573173043009084,0.987109055346659,-21.7698457093122,FALSE,24,4.43930950334359,2.03115387003064,0.186998396315243,30.9137713969129,0.783216783216783,FALSE,2018,"Baker",NA,NA,10,0.0016091598360116,-0.00159239037500489,0.0048107100470281,10,0.000521986352783242,-8.51918185801318e-05,0.00112916452414662,"BAK","PRIAs",0.00339858936083299,-0.000370371210144398,0.00710029570595506
"7","OCC-BAK-008","ACSP","2017-04-10","2018-06-15","17_18",1.18001368925394,"BAK-008_1704-1806_ACSP",38,0.00923389521958003,0.877426770017364,0.0731078651325871,0.8730804468114,12.383639808559,FALSE,38,0.240901222838034,0.927048434175303,0.0982065053844587,0.870643702764793,23.5988269728284,FALSE,57,3.03620514044573,1.00024513683222,0.08969337933729,70.05422901606,0.688365650969529,FALSE,2017,"Baker",NA,NA,7,0.000685744519336688,-0.000479962717129255,0.00185145175580263,7,0.000777706789224627,-1.33856578168519e-05,0.00156879923626611,"BAK","PRIAs",0.000341200578759472,-0.000239436197267161,0.00110032201581345
"8","OCC-BAK-008","POCS","2017-04-10","2018-06-15","17_18",1.18001368925394,"BAK-008_1704-1806_POCS",10,-0.115879738124043,0.865466243505744,0.0254623978135999,0.894793627159844,-4.55818995553721,FALSE,10,0.185132613207463,0.83740877542956,0.02858045747256,0.918200081301498,-3.40298584775807,FALSE,15,9.63135160562335,3.59390147793026,0.548286390772732,12.6256633685423,0.96,FALSE,2017,"Baker",NA,NA,7,0.00550674942196178,-0.00398457618905653,0.0149980750329801,7,0.000777706789224627,-1.33856578168519e-05,0.00156879923626611,"BAK","PRIAs",0.00339858936083299,-0.000370371210144398,0.00710029570595506
"9","OCC-BAK-008","MOSP","2017-04-10","2018-06-15","17_18",1.18001368925394,"BAK-008_1704-1806_MOSP",8,-0.307784712558763,0.752192970959281,0.0511972651127101,0.68779858738463,2.62500663861469,FALSE,8,-0.010194899386609,0.741841153586687,0.27452073752994,0.316917427480089,16.0597321570294,TRUE,32,2.49233586616515,1.48453132661643,0.0833063644325887,36.9912990801882,0.697916666666667,FALSE,2017,"Baker",NA,NA,7,0.000317638564203498,-0.000309805811623711,0.000945082940030707,7,0.000777706789224627,-1.33856578168519e-05,0.00156879923626611,"BAK","PRIAs",0.000149175802125489,3.9273631554838e-05,0.000829462402923355
"10","OCC-BAK-008","ACSP","2018-06-15","2023-03-18","18_23",4.75564681724846,"BAK-008_1806-2303_ACSP",17,-0.0513076374124454,0.886159293908768,0.0104060328215994,0.976954850721577,-25.4951458555254,FALSE,17,0.0317249046417787,0.890953181189091,0.017548221620986,0.971879094720169,-16.6115086290777,FALSE,57,1.50893419583732,1.25786182054388,0.160738182935092,62.3020367198911,0.789705882352941,FALSE,2018,"Baker",19,0.000945743219092356,10,0.000480569537357684,-0.0001978722398765,0.00115901131459187,10,0.000521986352783242,-8.51918185801318e-05,0.00112916452414662,"BAK","PRIAs",0.000341200578759472,-0.000239436197267161,0.00110032201581345
